model_class_name,model_name,tool-failover,missing-interact,internal-en,internal-zh,param-correction
XLAM,xlam-7b-fc-r,0.03482587064676617,0.014285714285714285,0.01,0.0,0.52
XLAM,xlam-1b-fc-r,0.11442786069651742,0.014285714285714285,0.01,0.01,0.495
Functionary,functionary-small-v3.2,0.36318407960199006,0.7571428571428571,0.03,0.025,0.35250000000000004
Functionary,functionary-medium-v3.2,0.4154228855721393,0.7,0.04,0.05,0.435
GPT,gpt-4o-mini,0.7736318407960199,0.8714285714285714,0.16999999999999998,0.04,0.835
GPT,gpt-35-turbo-0125,0.9950248756218906,0.11428571428571428,0.0,0.01,0.885
GPT,gpt-4o-2024-05-13-ptu,0.6417910447761194,0.8571428571428571,0.65,0.48,0.7
Functionary,functionary-medium-v3.1,0.5124378109452736,0.8571428571428571,0.09,0.0,0.395
GLM4,GLM4-9B,0.48258706467661694,0.08571428571428572,0.1,0.76,0.415
GPT,gpt-4-turbo,0.5621890547263682,0.7428571428571429,0.08,0.02,0.72
GPT,gpt-4o-2024-08-06,0.6417910447761194,0.9142857142857143,0.89,0.66,0.645
